2010/05/20 12:20, P09, Task10
2010/05/20 12:20, Driver, Call Janet
2010/05/20 12:20, System, Do you want to call Janet. Say 'Yes' or 'No'
2010/05/20 12:20, Driver, Yes
2010/05/20 12:20, System, Calling Janet on 0827743624
2010/05/20 12:26:25 PM, P10, Task11
2010/05/20 12:26:35 PM, Driver, Sms Andre
2010/05/20 12:26:35 PM, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No'
2010/05/20 12:26:44 PM, Driver, Yes
2010/05/20 12:26:44 PM, System, Choose between the following options
2010/05/20 12:26:48 PM, System, 1- I am running late
2010/05/20 12:26:51 PM, System, 2- Appointment postponed
2010/05/20 12:26:55 PM, System, 3- I will call you later
2010/05/20 12:27:01 PM, Driver, Read
2010/05/20 12:27:05 PM, Driver, Pairing
2010/05/20 12:27:10 PM, Driver, reply to
2010/05/20 12:27:16 PM, Driver, Chris
2010/05/21 06:37:05 PM, P04, Task12
2010/05/21 06:38:01 PM, Driver, Call Patrick
2010/05/21 06:38:01 PM, System, Do you want to call Patrick. Say 'Yes' or 'No'
2010/05/21 06:38:08 PM, Driver, What time is it?
2010/05/21 06:38:15 PM, Driver, Yes
2010/05/21 06:38:15 PM, System, Calling Patrick on 0768354159
2010/05/21 06:38:24 PM, Driver, triple nine
2010/05/21 06:38:26 PM, Driver, Say time
2010/05/21 06:38:29 PM, System, the time is 6  38
2010/05/23 12:48:31 PM, Driver, Call Patrick
2010/05/23 12:48:31 PM, System, Do you want to call Patrick. Say 'Yes' or 'No'
2010/05/23 12:48:41 PM, Driver, Yes
2010/05/23 12:48:41 PM, System, Calling Patrick on 0768354159
2010/05/23 01:49:05 PM, TEST, Task12
2010/05/23 01:49:09 PM, Driver, <Button> Send Message
2010/05/23 01:49:15 PM, Driver, Zero
2010/05/23 01:49:17 PM, Driver, Seven
2010/05/23 01:49:19 PM, Driver, Three
2010/05/23 01:49:21 PM, Driver, triple one
2010/05/23 01:49:23 PM, Driver, One
2010/05/23 01:49:25 PM, Driver, Two
2010/05/23 01:49:26 PM, Driver, Eight
2010/05/23 01:49:28 PM, Driver, Four
2010/05/23 01:49:30 PM, System, Do you want to send a text message to 0731111284. Say 'Yes' or 'No'
2010/05/23 01:49:42 PM, Driver, Yes
2010/05/23 01:49:43 PM, System, Choose between the following options
2010/05/23 01:49:46 PM, System, 1- I am running late
2010/05/23 01:49:50 PM, System, 2- Appointment postponed
2010/05/23 01:49:54 PM, System, 3- I will call you later
2010/05/23 01:49:57 PM, System, Sending the text message 3- I will call you later
2010/05/23 01:53:50 PM, TEST, Task01
2010/05/23 01:53:51 PM, Driver, <Button> Call
2010/05/23 01:53:55 PM, System, Sorry, your number  is  too short . Try again or cancel the call
2010/05/23 01:54:02 PM, Driver, <Button> Send Message
2010/05/23 01:54:06 PM, Driver, Zero
2010/05/23 01:54:07 PM, Driver, Seven
2010/05/23 01:54:09 PM, Driver, Three
2010/05/23 01:54:11 PM, Driver, triple one
2010/05/23 01:54:12 PM, Driver, double two
2010/05/23 01:54:14 PM, Driver, double four
